"ID";"FullName";"global_id";"ShortName";"AdmArea";"District";"Address";"Owner";"TestDate";"geoData";
"8";"Автомобильная заправочная станция «Авто-Сервис» на 3-й Парковой улице, дом 55";"4539534";"АЗС «Авто-Сервис» на 3-й Парковой улице, дом 55";"Восточный административный округ";"район Северное Измайлово";"3-я Парковая улица, дом 55";"ООО «Авто-Сервис»";"19.03.2013";"{type=Point, coordinates=[37.78099402408, 55.805000812134]}";
"13";"Автомобильный заправочный комплекс № 2 «РН-Москва»";"4539535";"АЗК № 2 «РН-Москва»";"Северо-Восточный административный округ";"Алтуфьевский район";"Алтуфьевское шоссе, владение 19";"ОАО «РН-Москва»";"04.04.2013";"{type=Point, coordinates=[37.58032946014, 55.855655351205]}";
"18";"Автомобильная заправочная станция № 544 «Лукойл-Центрнефтепродукт»";"4539536";"АЗС № 544 «Лукойл-Центрнефтепродукт»";"Северный административный округ";"район Сокол";"улица Зорге, дом 23, сооружение 1";"ООО «Лукойл-Центрнефтепродукт»";"10.04.2013";"{type=Point, coordinates=[37.504097064673, 55.794714140481]}";
"24";"Автомобильный заправочный комплекс № 76 «РН-Москва»";"4539537";"АЗК № 76 «РН-Москва»";"Юго-Восточный административный округ";"район Люблино";"11-й километр Московской Кольцевой Автодороги";"ОАО «РН-Москва»";"23.04.2013";"{type=Point, coordinates=[37.828991563552, 55.6893428525]}";
"28";"Автомобильная заправочная станция № 104 «Газпромнефть-Центр»";"4539538";"АЗС № 104 «Газпромнефть-Центр»";"Юго-Западный административный округ";"Академический район";"улица Дмитрия Ульянова, дом 9А";"ООО «Газпромнефть-Центр»";"29.04.2013";"{type=Point, coordinates=[37.566206939508, 55.690804672738]}";
"30";"Автомобильный заправочный комплекс № 7 «Валар»";"4539539";"АЗК № 7 «Валар»";"Юго-Западный административный округ";"район Котловка";"Нахимовский проспект, дом 10, строение 1";"ООО «Валар»";"14.05.2013";"{type=Point, coordinates=[37.597454400262, 55.666310248857]}";
"37";"Автомобильный заправочный комплекс № 6 «Валар»";"4539540";"АЗК № 6 «Валар»";"Восточный административный округ";"район Соколиная Гора";"улица Уткина, дом 45Б";"ООО «Валар»";"21.05.2013";"{type=Point, coordinates=[37.745069237046, 55.761199854536]}";
"40";"Автомобильная заправочная станция «Буран-Петрол» на 58-м километре Калужского шоссе";"4539541";"АЗС «Буран-Петрол» на 58-м километре Калужского шоссе";"Троицкий административный округ";"поселение Вороновское";"58-й километр Калужского шоссе";"ООО «Буран-Петрол»";"28.05.2013";"{type=Point, coordinates=[37.165233581895, 55.328611205056]}";
"41";"Автомобильная заправочная станция «Кузин А.А.» на Симферопольском шоссе, владение 1, строение 1";"4539542";"АЗС «Кузин А.А.» на Симферопольском шоссе, владение 1, строение 1";"Новомосковский административный округ";"поселение Щербинка";"Симферопольское шоссе, владение 1, строение 1";"ИП Кузин А.А.";"28.05.2013";"{type=Point, coordinates=[37.741190774834, 55.803560395521]}";
"43";"Автомобильная заправочная станция «Альфа-Петрол» на улице Генерала Белобородова, строение 40";"4539543";"АЗС «Альфа-Петрол» на улице Генерала Белобородова, строение 40";"Северо-Западный административный округ";"район Митино";"улица Генерала Белобородова, строение 40";"ООО «Альфа-Петрол»";"11.06.2013";"{type=Point, coordinates=[37.353271175455, 55.825984391136]}";
"48";"Автомобильная заправочная станция «Бондаренко А.В.» на 34-м километре Киевского шоссе";"4539544";"АЗС «Бондаренко А.В.» на 34-м километре Киевского шоссе";"Новомосковский административный округ";"поселение Московский";"34-й километр Киевского шоссе";"ИП Бондаренко А.В.";"12.07.2013";"{type=Point, coordinates=[37.237307407576, 55.578730594192]}";
"51";"Автомобильная заправочная станция «САГАН» на Симферопольском шоссе, владение 16А";"4539545";"АЗС «САГАН» на Симферопольском шоссе, владение 16А";"Новомосковский административный округ";"поселение Щербинка";"Симферопольское шоссе, владение 16А";"ООО «САГАН»";"08.08.2013";"{type=Point, coordinates=[37.558711882464, 55.501879196042]}";
"60";"Автомобильная заправочная станция «Нефтепродуктсервис» на Осташковской улице, владение 18А";"4539546";"АЗС «Нефтепродуктсервис» на Осташковской улице, владение 18А";"Северо-Восточный административный округ";"район Северное Медведково";"Осташковская улица, владение 18А";"ООО «Нефтепродуктсервис»";"02.09.2013";"{type=Point, coordinates=[37.677196133853, 55.88539256095]}";
"64";"Автомобильная заправочная станция «АЗС-Регион» в деревне Троицкое";"4539547";"АЗС «АЗС-Регион» в деревне Троицкое";"Троицкий административный округ";"поселение Щаповское";"деревня Троицкое";"ООО «АЗС-Регион»";"12.09.2013";"{type=Point, coordinates=[37.741190774834, 55.803560395521]}";
"65";"Автомобильная заправочная станция № 11 «ОЙЛ-ТРАСТ»";"4539548";"АЗС № 11 «ОЙЛ-ТРАСТ»";"Западный административный округ";"район Очаково-Матвеевское";"52-й километр Московской Кольцевой Автодороги, владение 4";"ООО «ОЙЛ-ТРАСТ»";"26.09.2013";"{type=Point, coordinates=[37.402042327594, 55.700633954944]}";
